Time(s),Ch1(A),Ch2(V),Ch3(V)
-7.999999999999951594e-04,-8.465108000000000077e-01,-1.365339999999999956e-02,-4.437289999999999984e-03
-6.000000000000033085e-04,-8.601641999999999344e-01,-6.826699999999999782e-03,-1.979713999999999779e-02
-3.999999999999975797e-04,-8.601641999999999344e-01,-1.365339999999999956e-02,-4.778619999999999916e-03
-2.000000000000057288e-04,-8.806442999999999355e-01,-6.826699999999999782e-03,-1.604250999999999941e-02
0.000000000000000000e+00,-8.806442999999999355e-01,-1.365339999999999956e-02,-1.535984999999999955e-02
2.000000000000057288e-04,-9.011243999999999366e-01,-6.826699999999999782e-03,-3.754629999999999686e-03
3.999999999999975797e-04,-8.942976999999999732e-01,-1.365339999999999956e-02,-2.389309999999999958e-03
6.000000000000033085e-04,-9.147777999999999743e-01,-6.826699999999999782e-03,-1.297053999999999915e-02
7.999999999999951594e-04,-9.147777999999999743e-01,-1.365339999999999956e-02,6.826599999999999726e-04
1.000000000000000888e-03,-9.284312000000000120e-01,0.000000000000000000e+00,-1.433585999999999888e-02
1.199999999999992739e-03,-9.284312000000000120e-01,-1.365339999999999956e-02,3.413299999999999754e-03
1.399999999999998468e-03,-9.489113000000000131e-01,0.000000000000000000e+00,-1.501851999999999875e-02
1.600000000000004197e-03,-9.420845999999999387e-01,0.000000000000000000e+00,-1.501851999999999875e-02
1.799999999999996048e-03,-9.625646999999999398e-01,-6.826699999999999782e-03,3.071969999999999822e-03
2.000000000000001776e-03,-9.625646999999999398e-01,-6.826699999999999782e-03,-1.160521999999999943e-02
2.199999999999993627e-03,-9.762180999999999775e-01,0.000000000000000000e+00,3.071969999999999822e-03
2.399999999999999356e-03,-9.762180999999999775e-01,-1.365339999999999956e-02,-1.092255999999999956e-02
2.600000000000005085e-03,-9.966981999999999786e-01,0.000000000000000000e+00,7.167929999999999441e-03
2.799999999999996936e-03,-9.966981999999999786e-01,-6.826699999999999782e-03,-6.826599999999999509e-03
3.000000000000002665e-03,-1.010351599999999905e+00,6.826699999999999782e-03,7.167929999999999441e-03
3.199999999999994515e-03,-1.010351599999999905e+00,-6.826699999999999782e-03,-3.071969999999999822e-03
3.400000000000000244e-03,-1.024005000000000054e+00,6.826699999999999782e-03,1.160521999999999943e-02
3.600000000000005973e-03,-1.024005000000000054e+00,6.826699999999999782e-03,9.215909999999999033e-03
3.799999999999997824e-03,-1.044485099999999944e+00,0.000000000000000000e+00,-2.730639999999999890e-03
4.000000000000003553e-03,-1.044485099999999944e+00,6.826699999999999782e-03,1.092255999999999956e-02
4.199999999999995404e-03,-1.058138499999999871e+00,0.000000000000000000e+00,-3.413299999999999863e-04
4.400000000000001132e-03,-1.058138499999999871e+00,0.000000000000000000e+00,-3.754629999999999686e-03
4.599999999999992983e-03,-1.078618599999999983e+00,6.826699999999999782e-03,1.638384000000000021e-02
4.799999999999998712e-03,-1.078618599999999983e+00,1.365339999999999956e-02,1.945581000000000046e-02
5.000000000000004441e-03,-1.092271999999999910e+00,6.826699999999999782e-03,3.071969999999999822e-03
5.199999999999996292e-03,-1.092271999999999910e+00,6.826699999999999782e-03,1.945581000000000046e-02
5.400000000000002021e-03,-1.105925400000000058e+00,1.365339999999999956e-02,-1.706649999999999877e-03
5.599999999999993872e-03,-1.105925400000000058e+00,6.826699999999999782e-03,3.413299999999999754e-03
5.799999999999999600e-03,-1.126405499999999948e+00,1.365339999999999956e-02,1.945581000000000046e-02
6.000000000000005329e-03,-1.126405499999999948e+00,6.826699999999999782e-03,7.167929999999999441e-03
6.199999999999997180e-03,-1.146885600000000061e+00,2.048010000000000108e-02,2.286910999999999805e-02
6.400000000000002909e-03,-1.140058899999999875e+00,2.048010000000000108e-02,2.252778000000000072e-02
6.599999999999994760e-03,-1.160538999999999987e+00,6.826699999999999782e-03,8.191920000000000104e-03
6.800000000000000488e-03,-1.160538999999999987e+00,1.365339999999999956e-02,1.023989999999999970e-02
7.000000000000006217e-03,-1.174192399999999914e+00,2.048010000000000108e-02,2.628240999999999911e-02
7.199999999999998068e-03,-1.174192399999999914e+00,2.730679999999999913e-02,2.696506999999999724e-02
7.400000000000003797e-03,-1.187845800000000063e+00,1.365339999999999956e-02,1.092255999999999956e-02
7.599999999999995648e-03,-1.187845800000000063e+00,1.365339999999999956e-02,1.365319999999999902e-02
7.800000000000001377e-03,-1.208325899999999953e+00,2.048010000000000108e-02,2.764772999999999883e-02
7.999999999999993228e-03,-1.201499199999999989e+00,1.365339999999999956e-02,1.706649999999999834e-02
8.199999999999998956e-03,-1.221979299999999879e+00,2.730679999999999913e-02,2.662373999999999991e-02
8.400000000000004685e-03,-1.221979299999999879e+00,1.365339999999999956e-02,1.433585999999999888e-02
8.599999999999996536e-03,-1.235632700000000028e+00,2.730679999999999913e-02,3.037836999999999829e-02
8.800000000000002265e-03,-1.235632700000000028e+00,2.730679999999999913e-02,1.535984999999999955e-02
8.999999999999994116e-03,-1.256112799999999918e+00,2.048010000000000108e-02,2.969571000000000016e-02
9.199999999999999845e-03,-1.256112799999999918e+00,2.048010000000000108e-02,1.535984999999999955e-02
