Time(s),Ch1(A),Ch2(V)
-4.750000000000000749e-03,-9.489113000000000131e-01,-2.389344999999999941e-01
-4.699999999999999317e-03,-9.489113000000000131e-01,-2.321078000000000030e-01
-4.650000000000001354e-03,-9.557379999999999765e-01,-2.457611999999999852e-01
-4.599999999999999922e-03,-9.557379999999999765e-01,-2.457611999999999852e-01
-4.550000000000001960e-03,-9.625646999999999398e-01,-2.321078000000000030e-01
-4.500000000000000527e-03,-9.625646999999999398e-01,-2.252810999999999841e-01
-4.449999999999999095e-03,-9.693914000000000142e-01,-2.389344999999999941e-01
-4.400000000000001132e-03,-9.625646999999999398e-01,-2.389344999999999941e-01
-4.349999999999999700e-03,-9.693914000000000142e-01,-2.525878999999999763e-01
-4.300000000000001737e-03,-9.693914000000000142e-01,-2.457611999999999852e-01
-4.250000000000000305e-03,-9.762180999999999775e-01,-2.594145999999999952e-01
-4.199999999999998873e-03,-9.693914000000000142e-01,-2.457611999999999852e-01
-4.150000000000000910e-03,-9.762180999999999775e-01,-2.594145999999999952e-01
-4.099999999999999478e-03,-9.762180999999999775e-01,-2.594145999999999952e-01
-4.050000000000001515e-03,-9.830447999999999409e-01,-2.389344999999999941e-01
-4.000000000000000083e-03,-9.830447999999999409e-01,-2.321078000000000030e-01
-3.949999999999998651e-03,-9.830447999999999409e-01,-2.525878999999999763e-01
-3.900000000000000688e-03,-9.830447999999999409e-01,-2.525878999999999763e-01
-3.849999999999999256e-03,-9.898715000000000153e-01,-2.594145999999999952e-01
-3.800000000000001293e-03,-9.898715000000000153e-01,-2.594145999999999952e-01
-3.749999999999999861e-03,-9.966981999999999786e-01,-2.798946999999999963e-01
-3.700000000000001898e-03,-9.898715000000000153e-01,-2.798946999999999963e-01
-3.650000000000000466e-03,-9.966981999999999786e-01,-3.003747999999999974e-01
-3.599999999999999034e-03,-9.966981999999999786e-01,-2.867214000000000151e-01
-3.550000000000001071e-03,-1.003524899999999942e+00,-2.662413000000000141e-01
-3.499999999999999639e-03,-1.003524899999999942e+00,-2.662413000000000141e-01
-3.450000000000001676e-03,-1.003524899999999942e+00,-2.457611999999999852e-01
-3.400000000000000244e-03,-1.003524899999999942e+00,-2.457611999999999852e-01
-3.349999999999998812e-03,-1.010351599999999905e+00,-2.662413000000000141e-01
-3.300000000000000849e-03,-1.010351599999999905e+00,-2.662413000000000141e-01
-3.249999999999999417e-03,-1.017178299999999869e+00,-2.594145999999999952e-01
-3.200000000000001454e-03,-1.010351599999999905e+00,-2.730679999999999774e-01
-3.150000000000000022e-03,-1.017178299999999869e+00,-2.594145999999999952e-01
-3.100000000000002059e-03,-1.017178299999999869e+00,-2.594145999999999952e-01
-3.050000000000000627e-03,-1.024005000000000054e+00,-2.662413000000000141e-01
-2.999999999999999195e-03,-1.024005000000000054e+00,-2.662413000000000141e-01
-2.950000000000001232e-03,-1.024005000000000054e+00,-2.730679999999999774e-01
-2.899999999999999800e-03,-1.024005000000000054e+00,-2.662413000000000141e-01
-2.850000000000001837e-03,-1.030831700000000017e+00,-2.798946999999999963e-01
-2.800000000000000405e-03,-1.030831700000000017e+00,-2.730679999999999774e-01
