Time(s),Ch1(V),Ch2(A)
-1.899999999999998912e-02,-8.191919999999999202e-01,-9.898569999999998759e-01
-1.879999999999999727e-02,-8.191919999999999202e-01,-9.898569999999998759e-01
-1.859999999999999154e-02,-8.533249999999998892e-01,-1.058122999999999925e+00
-1.839999999999998581e-02,-8.191919999999999202e-01,-1.092255999999999894e+00
-1.819999999999999396e-02,-8.533249999999998892e-01,-1.194654999999999800e+00
-1.799999999999998823e-02,-8.533249999999998892e-01,-1.194654999999999800e+00
-1.779999999999999638e-02,-9.215909999999999380e-01,-1.297053999999999929e+00
-1.759999999999999065e-02,-8.874579999999998581e-01,-1.262920999999999960e+00
-1.739999999999998492e-02,-1.023989999999999956e+00,-1.365319999999999867e+00
-1.719999999999999307e-02,-9.898569999999998759e-01,-1.365319999999999867e+00
-1.699999999999998734e-02,-1.126388999999999863e+00,-1.467718999999999774e+00
-1.679999999999999549e-02,-1.126388999999999863e+00,-1.467718999999999774e+00
-1.659999999999998976e-02,-1.228787999999999769e+00,-1.570117999999999903e+00
-1.639999999999999791e-02,-1.228787999999999769e+00,-1.570117999999999903e+00
-1.619999999999999218e-02,-1.331186999999999898e+00,-1.672516999999999809e+00
-1.599999999999998646e-02,-1.331186999999999898e+00,-1.672516999999999809e+00
-1.579999999999999460e-02,-1.433585999999999805e+00,-1.774915999999999716e+00
-1.559999999999998888e-02,-1.433585999999999805e+00,-1.774915999999999716e+00
-1.539999999999999702e-02,-1.535984999999999934e+00,-1.877314999999999845e+00
-1.519999999999999130e-02,-1.535984999999999934e+00,-1.877314999999999845e+00
-1.499999999999998557e-02,-1.638383999999999840e+00,-1.979713999999999752e+00
-1.479999999999999372e-02,-1.638383999999999840e+00,-1.979713999999999752e+00
-1.459999999999998799e-02,-1.740782999999999747e+00,-2.082112999999999658e+00
-1.439999999999999614e-02,-1.740782999999999747e+00,-2.082112999999999658e+00
-1.419999999999999041e-02,-1.774915999999999716e+00,-2.184511999999999787e+00
-1.399999999999999856e-02,-1.774915999999999716e+00,-2.184511999999999787e+00
-1.379999999999999283e-02,-1.843181999999999876e+00,-2.286910999999999916e+00
-1.359999999999998710e-02,-1.843181999999999876e+00,-2.286910999999999916e+00
-1.339999999999999525e-02,-1.945580999999999783e+00,-2.389309999999999601e+00
-1.319999999999998952e-02,-1.945580999999999783e+00,-2.389309999999999601e+00
-1.299999999999999767e-02,-2.047979999999999912e+00,-2.491708999999999730e+00
-1.279999999999999194e-02,-2.047979999999999912e+00,-2.491708999999999730e+00
-1.259999999999998621e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-1.239999999999999436e-02,-2.150378999999999596e+00,-2.594107999999999858e+00
-1.219999999999998863e-02,-2.252777999999999725e+00,-2.696506999999999543e+00
