Time(s),Ch1(A),Ch2(V)
-2.919999999999999853e-03,5.120099999999999651e-02,-2.935437999999999936e-02
-2.909999999999999826e-03,6.826799999999999535e-02,-2.764772999999999883e-02
-2.899999999999999800e-03,5.120099999999999651e-02,-2.798905999999999963e-02
-2.889999999999999774e-03,8.533499999999999419e-02,-2.594107999999999831e-02
-2.879999999999999748e-03,6.826799999999999535e-02,-2.594107999999999831e-02
-2.869999999999999721e-03,8.533499999999999419e-02,-2.730639999999999804e-02
-2.860000000000000129e-03,6.826799999999999535e-02,-2.696506999999999724e-02
-2.850000000000000103e-03,8.533499999999999419e-02,-3.003703999999999749e-02
-2.840000000000000076e-03,8.533499999999999419e-02,-3.037836999999999829e-02
-2.830000000000000050e-03,5.120099999999999651e-02,-2.764772999999999883e-02
-2.820000000000000024e-03,8.533499999999999419e-02,-2.833039000000000043e-02
-2.809999999999999998e-03,6.826799999999999535e-02,-2.594107999999999831e-02
-2.799999999999999972e-03,6.826799999999999535e-02,-2.764772999999999883e-02
-2.789999999999999945e-03,8.533499999999999419e-02,-2.355176999999999965e-02
-2.779999999999999919e-03,6.826799999999999535e-02,-2.355176999999999965e-02
-2.769999999999999893e-03,8.533499999999999419e-02,-2.901304999999999856e-02
-2.759999999999999867e-03,8.533499999999999419e-02,-2.696506999999999724e-02
-2.749999999999999840e-03,6.826799999999999535e-02,-2.901304999999999856e-02
-2.739999999999999814e-03,6.826799999999999535e-02,-2.833039000000000043e-02
-2.729999999999999788e-03,8.533499999999999419e-02,-2.696506999999999724e-02
-2.719999999999999762e-03,6.826799999999999535e-02,-2.696506999999999724e-02
-2.709999999999999735e-03,1.024019999999999930e-01,-2.423442999999999778e-02
-2.699999999999999709e-03,6.826799999999999535e-02,-2.389310000000000045e-02
-2.690000000000000117e-03,1.024019999999999930e-01,-2.559974999999999751e-02
-2.680000000000000090e-03,8.533499999999999419e-02,-2.559974999999999751e-02
-2.670000000000000064e-03,1.024019999999999930e-01,-2.389310000000000045e-02
-2.660000000000000038e-03,1.024019999999999930e-01,-2.457575999999999858e-02
-2.650000000000000012e-03,8.533499999999999419e-02,-2.764772999999999883e-02
-2.639999999999999986e-03,6.826799999999999535e-02,-2.969571000000000016e-02
-2.629999999999999959e-03,1.024019999999999930e-01,-2.730639999999999804e-02
-2.619999999999999933e-03,8.533499999999999419e-02,-2.901304999999999856e-02
-2.609999999999999907e-03,1.194689999999999919e-01,-2.491708999999999938e-02
-2.599999999999999881e-03,1.024019999999999930e-01,-2.730639999999999804e-02
-2.589999999999999854e-03,8.533499999999999419e-02,-2.423442999999999778e-02
-2.579999999999999828e-03,8.533499999999999419e-02,-2.423442999999999778e-02
-2.569999999999999802e-03,1.194689999999999919e-01,-2.628240999999999911e-02
-2.559999999999999776e-03,8.533499999999999419e-02,-2.423442999999999778e-02
-2.549999999999999750e-03,1.194689999999999919e-01,-2.662373999999999991e-02
-2.539999999999999723e-03,8.533499999999999419e-02,-2.525842000000000018e-02
-2.529999999999999697e-03,1.194689999999999919e-01,-2.286910999999999805e-02
-2.520000000000000104e-03,1.024019999999999930e-01,-2.252778000000000072e-02
-2.510000000000000078e-03,1.194689999999999919e-01,-2.457575999999999858e-02
-2.500000000000000052e-03,1.024019999999999930e-01,-2.491708999999999938e-02
-2.490000000000000026e-03,1.194689999999999919e-01,-2.286910999999999805e-02
-2.480000000000000000e-03,1.194689999999999919e-01,-2.218644999999999992e-02
-2.469999999999999973e-03,1.024019999999999930e-01,-2.423442999999999778e-02
-2.459999999999999947e-03,1.024019999999999930e-01,-2.252778000000000072e-02
-2.449999999999999921e-03,1.365359999999999907e-01,-2.594107999999999831e-02
-2.439999999999999895e-03,1.024019999999999930e-01,-2.594107999999999831e-02
-2.429999999999999868e-03,1.194689999999999919e-01,-2.867171999999999776e-02
-2.419999999999999842e-03,8.533499999999999419e-02,-2.594107999999999831e-02
-2.409999999999999816e-03,1.365359999999999907e-01,-2.798905999999999963e-02
-2.399999999999999790e-03,1.024019999999999930e-01,-2.798905999999999963e-02
-2.389999999999999764e-03,1.365359999999999907e-01,-2.457575999999999858e-02
-2.379999999999999737e-03,1.024019999999999930e-01,-2.696506999999999724e-02
-2.369999999999999711e-03,1.365359999999999907e-01,-2.525842000000000018e-02
