Time(s),Voltage(V)
-2.839999999999999858e+00,-3.584699999999999692e-02
-2.834999999999999964e+00,2.901899999999999966e-02
-2.830000000000000071e+00,3.243299999999999655e-02
-2.824999999999999734e+00,-3.243299999999999655e-02
-2.819999999999999840e+00,-3.584699999999999692e-02
-2.814999999999999947e+00,3.243299999999999655e-02
-2.810000000000000053e+00,2.901899999999999966e-02
-2.805000000000000160e+00,-3.584699999999999692e-02
-2.799999999999999822e+00,-3.072599999999999984e-02
-2.794999999999999929e+00,3.413999999999999674e-02
-2.790000000000000036e+00,-3.072599999999999984e-02
-2.785000000000000142e+00,3.243299999999999655e-02
-2.779999999999999805e+00,3.072599999999999984e-02
-2.774999999999999911e+00,-2.731199999999999947e-02
-2.770000000000000018e+00,-3.243299999999999655e-02
-2.765000000000000124e+00,3.755399999999999711e-02
-2.759999999999999787e+00,2.731199999999999947e-02
-2.754999999999999893e+00,-3.072599999999999984e-02
-2.750000000000000000e+00,-2.731199999999999947e-02
-2.745000000000000107e+00,3.413999999999999674e-02
-2.739999999999999769e+00,-3.413999999999999674e-02
-2.734999999999999876e+00,2.219099999999999892e-02
-2.729999999999999982e+00,3.413999999999999674e-02
-2.725000000000000089e+00,-2.901899999999999966e-02
-2.719999999999999751e+00,-3.584699999999999692e-02
-2.714999999999999858e+00,3.243299999999999655e-02
-2.709999999999999964e+00,2.560499999999999929e-02
-2.705000000000000071e+00,-3.413999999999999674e-02
-2.699999999999999734e+00,-2.389799999999999910e-02
-2.694999999999999840e+00,3.243299999999999655e-02
-2.689999999999999947e+00,-3.413999999999999674e-02
-2.685000000000000053e+00,2.731199999999999947e-02
-2.680000000000000160e+00,3.072599999999999984e-02
-2.674999999999999822e+00,-3.243299999999999655e-02
-2.669999999999999929e+00,-3.243299999999999655e-02
-2.665000000000000036e+00,3.243299999999999655e-02
-2.660000000000000142e+00,2.560499999999999929e-02
-2.654999999999999805e+00,-3.413999999999999674e-02
-2.649999999999999911e+00,-2.560499999999999929e-02
-2.645000000000000018e+00,3.072599999999999984e-02
-2.640000000000000124e+00,-3.413999999999999674e-02
-2.634999999999999787e+00,3.413999999999999674e-02
-2.629999999999999893e+00,3.243299999999999655e-02
-2.625000000000000000e+00,-2.901899999999999966e-02
-2.620000000000000107e+00,-3.243299999999999655e-02
-2.614999999999999769e+00,3.243299999999999655e-02
-2.609999999999999876e+00,2.219099999999999892e-02
-2.604999999999999982e+00,-3.584699999999999692e-02
-2.600000000000000089e+00,-2.560499999999999929e-02
-2.594999999999999751e+00,3.072599999999999984e-02
-2.589999999999999858e+00,-3.413999999999999674e-02
-2.584999999999999964e+00,2.560499999999999929e-02
-2.580000000000000071e+00,3.243299999999999655e-02
-2.574999999999999734e+00,-2.731199999999999947e-02
-2.569999999999999840e+00,-3.243299999999999655e-02
-2.564999999999999947e+00,3.584699999999999692e-02
-2.560000000000000053e+00,2.560499999999999929e-02
-2.555000000000000160e+00,-3.072599999999999984e-02
-2.549999999999999822e+00,-2.731199999999999947e-02
-2.544999999999999929e+00,3.243299999999999655e-02
-2.540000000000000036e+00,-3.243299999999999655e-02
-2.535000000000000142e+00,2.731199999999999947e-02
-2.529999999999999805e+00,3.243299999999999655e-02
-2.524999999999999911e+00,-3.413999999999999674e-02
-2.520000000000000018e+00,-2.901899999999999966e-02
-2.515000000000000124e+00,3.413999999999999674e-02
-2.509999999999999787e+00,2.731199999999999947e-02
-2.504999999999999893e+00,-3.413999999999999674e-02
-2.500000000000000000e+00,-2.389799999999999910e-02
-2.495000000000000107e+00,3.243299999999999655e-02
-2.489999999999999769e+00,-3.243299999999999655e-02
-2.484999999999999876e+00,2.731199999999999947e-02
-2.479999999999999982e+00,2.901899999999999966e-02
-2.475000000000000089e+00,-3.072599999999999984e-02
-2.469999999999999751e+00,-3.243299999999999655e-02
-2.464999999999999858e+00,3.072599999999999984e-02
-2.459999999999999964e+00,2.389799999999999910e-02
-2.455000000000000071e+00,-3.413999999999999674e-02
-2.449999999999999734e+00,-2.219099999999999892e-02
-2.444999999999999840e+00,3.584699999999999692e-02
-2.439999999999999947e+00,-3.243299999999999655e-02
-2.435000000000000053e+00,2.731199999999999947e-02
-2.430000000000000160e+00,3.072599999999999984e-02
-2.424999999999999822e+00,-2.901899999999999966e-02
-2.419999999999999929e+00,-3.413999999999999674e-02
-2.415000000000000036e+00,3.072599999999999984e-02
-2.410000000000000142e+00,2.389799999999999910e-02
-2.404999999999999805e+00,-3.243299999999999655e-02
-2.399999999999999911e+00,-2.731199999999999947e-02
-2.395000000000000018e+00,3.072599999999999984e-02
-2.390000000000000124e+00,-3.413999999999999674e-02
-2.384999999999999787e+00,2.731199999999999947e-02
-2.379999999999999893e+00,3.413999999999999674e-02
-2.375000000000000000e+00,-3.072599999999999984e-02
-2.370000000000000107e+00,-2.901899999999999966e-02
-2.364999999999999769e+00,2.901899999999999966e-02
-2.359999999999999876e+00,2.731199999999999947e-02
-2.354999999999999982e+00,-2.901899999999999966e-02
-2.350000000000000089e+00,-2.901899999999999966e-02
-2.344999999999999751e+00,3.413999999999999674e-02
-2.339999999999999858e+00,-3.584699999999999692e-02
-2.334999999999999964e+00,2.389799999999999910e-02
-2.330000000000000071e+00,3.072599999999999984e-02
-2.324999999999999734e+00,-3.413999999999999674e-02
-2.319999999999999840e+00,-2.901899999999999966e-02
-2.314999999999999947e+00,3.243299999999999655e-02
-2.310000000000000053e+00,2.901899999999999966e-02
-2.305000000000000160e+00,-3.243299999999999655e-02
-2.299999999999999822e+00,-2.048399999999999874e-02
-2.294999999999999929e+00,3.072599999999999984e-02
-2.290000000000000036e+00,-3.072599999999999984e-02
-2.285000000000000142e+00,2.731199999999999947e-02
-2.279999999999999805e+00,3.072599999999999984e-02
-2.274999999999999911e+00,-3.243299999999999655e-02
-2.270000000000000018e+00,-3.413999999999999674e-02
-2.265000000000000124e+00,3.072599999999999984e-02
-2.259999999999999787e+00,2.389799999999999910e-02
-2.254999999999999893e+00,-3.243299999999999655e-02
-2.250000000000000000e+00,-2.219099999999999892e-02
-2.245000000000000107e+00,3.072599999999999984e-02
-2.239999999999999769e+00,-3.413999999999999674e-02
-2.234999999999999876e+00,3.243299999999999655e-02
-2.229999999999999982e+00,3.072599999999999984e-02
-2.225000000000000089e+00,-2.560499999999999929e-02
-2.219999999999999751e+00,-3.413999999999999674e-02
-2.214999999999999858e+00,2.901899999999999966e-02
-2.209999999999999964e+00,2.389799999999999910e-02
-2.205000000000000071e+00,-3.584699999999999692e-02
-2.199999999999999734e+00,-3.072599999999999984e-02
-2.194999999999999840e+00,3.413999999999999674e-02
-2.189999999999999947e+00,-3.243299999999999655e-02
-2.185000000000000053e+00,3.072599999999999984e-02
-2.180000000000000160e+00,3.072599999999999984e-02
-2.174999999999999822e+00,-2.901899999999999966e-02
-2.169999999999999929e+00,-2.901899999999999966e-02
-2.165000000000000036e+00,3.413999999999999674e-02
-2.160000000000000142e+00,2.731199999999999947e-02
-2.154999999999999805e+00,-3.243299999999999655e-02
-2.149999999999999911e+00,-2.048399999999999874e-02
-2.145000000000000018e+00,3.413999999999999674e-02
-2.140000000000000124e+00,-3.072599999999999984e-02
-2.134999999999999787e+00,2.389799999999999910e-02
-2.129999999999999893e+00,3.584699999999999692e-02
-2.125000000000000000e+00,-3.243299999999999655e-02
-2.120000000000000107e+00,-3.243299999999999655e-02
-2.114999999999999769e+00,3.072599999999999984e-02
-2.109999999999999876e+00,2.560499999999999929e-02
-2.104999999999999982e+00,-3.243299999999999655e-02
-2.100000000000000089e+00,3.413999999999999674e-02
-2.094999999999999751e+00,-2.048399999999999874e-02
-2.089999999999999858e+00,-3.413999999999999674e-02
-2.084999999999999964e+00,3.243299999999999655e-02
-2.080000000000000071e+00,3.243299999999999655e-02
-2.074999999999999734e+00,-2.901899999999999966e-02
-2.069999999999999840e+00,-3.413999999999999674e-02
-2.064999999999999947e+00,2.901899999999999966e-02
-2.060000000000000053e+00,2.731199999999999947e-02
-2.055000000000000160e+00,-3.755399999999999711e-02
-2.049999999999999822e+00,-2.389799999999999910e-02
-2.044999999999999929e+00,3.413999999999999674e-02
-2.040000000000000036e+00,-3.072599999999999984e-02
-2.035000000000000142e+00,2.901899999999999966e-02
-2.029999999999999805e+00,2.901899999999999966e-02
-2.024999999999999911e+00,-2.731199999999999947e-02
-2.020000000000000018e+00,-3.584699999999999692e-02
-2.015000000000000124e+00,3.584699999999999692e-02
-2.009999999999999787e+00,2.731199999999999947e-02
-2.004999999999999893e+00,-3.243299999999999655e-02
-2.000000000000000000e+00,-2.219099999999999892e-02
-1.995000000000000107e+00,3.243299999999999655e-02
-1.989999999999999769e+00,-3.072599999999999984e-02
-1.984999999999999876e+00,2.731199999999999947e-02
-1.979999999999999982e+00,3.584699999999999692e-02
-1.975000000000000089e+00,-3.584699999999999692e-02
-1.969999999999999751e+00,-2.901899999999999966e-02
-1.964999999999999858e+00,3.072599999999999984e-02
-1.959999999999999964e+00,2.560499999999999929e-02
-1.955000000000000071e+00,-2.901899999999999966e-02
-1.949999999999999734e+00,-2.560499999999999929e-02
-1.944999999999999840e+00,3.413999999999999674e-02
-1.939999999999999947e+00,-3.243299999999999655e-02
-1.935000000000000053e+00,2.560499999999999929e-02
-1.929999999999999716e+00,2.731199999999999947e-02
-1.924999999999999822e+00,-3.072599999999999984e-02
-1.919999999999999929e+00,-2.901899999999999966e-02
-1.915000000000000036e+00,3.072599999999999984e-02
-1.910000000000000142e+00,2.731199999999999947e-02
-1.904999999999999805e+00,-3.413999999999999674e-02
-1.899999999999999911e+00,-2.219099999999999892e-02
-1.895000000000000018e+00,3.243299999999999655e-02
-1.890000000000000124e+00,-3.243299999999999655e-02
-1.884999999999999787e+00,2.731199999999999947e-02
-1.879999999999999893e+00,3.072599999999999984e-02
-1.875000000000000000e+00,-3.072599999999999984e-02
-1.870000000000000107e+00,-3.755399999999999711e-02
-1.864999999999999769e+00,2.901899999999999966e-02
-1.859999999999999876e+00,2.389799999999999910e-02
-1.854999999999999982e+00,-3.072599999999999984e-02
-1.850000000000000089e+00,-2.219099999999999892e-02
-1.844999999999999751e+00,2.731199999999999947e-02
-1.839999999999999858e+00,-3.584699999999999692e-02
-1.834999999999999964e+00,3.243299999999999655e-02
-1.830000000000000071e+00,3.072599999999999984e-02
-1.824999999999999734e+00,-3.072599999999999984e-02
-1.819999999999999840e+00,-3.072599999999999984e-02
-1.814999999999999947e+00,3.072599999999999984e-02
-1.810000000000000053e+00,2.731199999999999947e-02
-1.804999999999999716e+00,-3.243299999999999655e-02
-1.799999999999999822e+00,-2.901899999999999966e-02
-1.794999999999999929e+00,3.584699999999999692e-02
-1.790000000000000036e+00,-3.413999999999999674e-02
-1.785000000000000142e+00,2.731199999999999947e-02
-1.779999999999999805e+00,3.243299999999999655e-02
-1.774999999999999911e+00,-2.731199999999999947e-02
-1.770000000000000018e+00,-2.731199999999999947e-02
-1.765000000000000124e+00,3.755399999999999711e-02
-1.759999999999999787e+00,2.731199999999999947e-02
-1.754999999999999893e+00,-3.243299999999999655e-02
-1.750000000000000000e+00,-2.219099999999999892e-02
-1.745000000000000107e+00,3.243299999999999655e-02
-1.739999999999999769e+00,-3.413999999999999674e-02
-1.734999999999999876e+00,3.243299999999999655e-02
-1.729999999999999982e+00,3.755399999999999711e-02
-1.725000000000000089e+00,-3.584699999999999692e-02
-1.719999999999999751e+00,-3.413999999999999674e-02
-1.714999999999999858e+00,3.072599999999999984e-02
-1.709999999999999964e+00,2.560499999999999929e-02
-1.705000000000000071e+00,-3.243299999999999655e-02
-1.699999999999999734e+00,-2.389799999999999910e-02
-1.694999999999999840e+00,3.072599999999999984e-02
-1.689999999999999947e+00,-3.584699999999999692e-02
-1.685000000000000053e+00,3.072599999999999984e-02
-1.679999999999999716e+00,3.072599999999999984e-02
-1.674999999999999822e+00,-2.901899999999999966e-02
-1.669999999999999929e+00,-3.072599999999999984e-02
-1.665000000000000036e+00,3.755399999999999711e-02
-1.660000000000000142e+00,2.560499999999999929e-02
-1.654999999999999805e+00,-3.584699999999999692e-02
-1.649999999999999911e+00,-2.901899999999999966e-02
-1.645000000000000018e+00,3.243299999999999655e-02
-1.640000000000000124e+00,-3.413999999999999674e-02
-1.634999999999999787e+00,3.243299999999999655e-02
-1.629999999999999893e+00,3.243299999999999655e-02
-1.625000000000000000e+00,-2.901899999999999966e-02
-1.620000000000000107e+00,-3.413999999999999674e-02
-1.614999999999999769e+00,3.755399999999999711e-02
-1.609999999999999876e+00,2.560499999999999929e-02
-1.604999999999999982e+00,-3.072599999999999984e-02
-1.600000000000000089e+00,-2.731199999999999947e-02
-1.594999999999999751e+00,3.243299999999999655e-02
-1.589999999999999858e+00,-3.584699999999999692e-02
-1.584999999999999964e+00,2.560499999999999929e-02
-1.580000000000000071e+00,3.584699999999999692e-02
-1.574999999999999734e+00,-3.072599999999999984e-02
-1.569999999999999840e+00,-3.243299999999999655e-02
-1.564999999999999947e+00,3.072599999999999984e-02
-1.560000000000000053e+00,2.560499999999999929e-02
-1.554999999999999716e+00,-3.243299999999999655e-02
-1.549999999999999822e+00,-2.560499999999999929e-02
-1.544999999999999929e+00,3.926099999999999729e-02
-1.540000000000000036e+00,-3.584699999999999692e-02
-1.535000000000000142e+00,3.072599999999999984e-02
-1.529999999999999805e+00,3.243299999999999655e-02
-1.524999999999999911e+00,-3.413999999999999674e-02
-1.520000000000000018e+00,-3.584699999999999692e-02
-1.515000000000000124e+00,3.243299999999999655e-02
-1.509999999999999787e+00,2.560499999999999929e-02
-1.504999999999999893e+00,-3.413999999999999674e-02
-1.500000000000000000e+00,-2.389799999999999910e-02
-1.495000000000000107e+00,3.243299999999999655e-02
